text,label,speaker
"they end up being, becoming divisive themselves.",sv,B
"Okay,",b^m,A
good luck.,fc,B
"but there,",%,A
Yeah.,b^m,A
Yeah,b,B
"We used to try and belong to clubs or the Y, stuff like that,",sd,A
Yeah.,ny,A
"and they try to hook you into his organization, which costs about four hundred bucks.",sd,B
Yeah.,b,B
Uh-huh.,b,B
"and, uh, I think the Bulls won by two.",sd,A
"Well it's really bad that you have to be, you know,",sv,B
"you name it, they had it",sd,A
uh-huh.,b,B
right?,^g,A
"Um, I think if, uh, they looked at it as a way of business helping out financially for universal health care and, uh, individuals, um, helping out in some sort of way whether it be taxes or some how.",sv,A
"I mean, we're going to have to do something about all of these fabulous salaries they're paying to all of our athletes, I think.",sv,B
"And, I thought I would really miss that.",sd,B
Uh-huh.,b,B
And that,%,B
seven twenty-five.,sd,B
"they tell,",%,A
"you'll, you'll,",%,B
Yes.,aa,A
"I saw reruns of it,",sd,A
"the, the thought of adding, you know, X percent to, to the price of what I buy, I just, I can't accept.",sd,A
"And, and so, it seems, it seems for them that it works out all right.",sd,A
"And so we would sail and, and, uh, did a lot of camping that way.",sd,A
"And he only has certain office hours,",sd,B
"I had, um,",%,A
"And, uh, I I really hope she does well.",sd,A
Uh-huh.,b,B
I mean that is it,sv,B
but I think that's the way we need to go.,sv,B
"but, uh I don't know,",h,A
"We watch, uh, M T V twenty four hours a day",sd,B
"You know, so, um,",%,B
"or that you've,",qy,A
"Income tax, no.",sd,B
"and, uh, luckily, I mean, she lived by herself",sd,A
Wow.,ba,A
"Oh, really.",b,A
"and they, they refuse to give him more salary.",sd,B
I never did.,sd,A
and the local team was Philadelphia.,sd,B
"and say, well, just forget it.",sv,B
"Uh, the other thing that, uh, I remember seeing on T V lately is, uh, had to do with,",sd,A
Right.,b,A
"I was just um,",sd,B
"do you know which way it is the ratio,",qy,A
I mean you knew it,sd,B
but it wasn't like a real priority.,sd,A
"this is Jim Bliss from Minneapolis, Minnesota.",sd,B
Yeah.,b,A
"Oh, gosh.",ba,B
"Uh, my my, uh,",%,A
and you're going to learn there is a lot of responsibility just keeping the home going,sv,A
"No,",aa,B
Right,b,B
"and I went on, went ahead and sold it.",sd,A
Uh-huh.,b,B
"Have more of an active role in taking care of children, more of an active role in taking care of the home.",sv,A
"I don't know how we'd ever find out, you know, really whether it is or not.",sv,B
"Any of that stuff from the Jetsons, from that cartoon, that you would never imagine would come, become possible, and now you, we have a lot of those,",sv,A
"Well, that's right.",aa,B
Uh-huh.,b,B
and let either he or that group decide whether or not you have a real case.,sv,B
"So, I don't know.",h,A
"all those restrictions are really too hard,",^q,A
"It was, it was a pleasure chatting with you.",fc,B
I never heard of such a project before.,sd,B
"somebody, somebody abandoned her",sd,A
I don't really read the self-improvement books or things like that.,sd,A
"I was really tired of, uh, the Michael Bolton.",sd,B
"and, and for campaign, that's it.",sd,A
"Um, Howard and I were talking about home repair the other night and, uh, in connection with scouting.",sd,A
"Uh, as far as my defense budget, uh, they're cutting it back now, what, twenty-five percent?",qh,B
They wanted to see what it was like to kill someone.,sd,B
do you watch anything like with sports or anything like that?,qy,A
I don't know quite how that works.,sd,B
"Yeah,",ny,B
and like as a youngster I use to always dress up all the time.,sd,A
Uh-huh.,b,B
Uh-huh.,b,B
Yeah.,b,B
"Yeah,",aa,A
"Oh, okay.",bk,A
recipes in Pittsburgh consisted of red meat and a potato.,sd,A
"So, you,",%,A
"Well,",%,A
and not very many of my daughter's friends really are on their original mother and father.,sd,A
No,aa,B
"Right,",b,B
Yeah.,b,B
Uh-huh.,b,A
"Uh-huh,",b,B
It was just a little nibble,sd,A
Uh-huh.,b,B
"well, of course to them a dollar was a dollar at four and five years old.",sd,A
"Yeah,",b,A
"last thing,",%,A
so,%,B
Did you just move down here?,qy,B
"Yeah,",b,A
I went where I wanted to go.,sd,B
I guess we can't win,sv,A
Uh-huh.,b,A
I have,%,B
"no,",ar,B
Uh-huh.,b,B
I mean they're really easy to pull out.,sd,B
"and I thought wow, I mean, how, one person is doing that, you know,",sd,A
so he sold his.,sd,B
"Uh, I turn that on, on Sunday mornings.",sd,B
Right.,b,A
She played the clarinet,sd,B
I really don't.,sd,A
Uh-huh.,b,B
Of course everything has Japanese parts in them anymore.,sd,A
"It,",%,B
"Oh, wow.",ba,B
"yeah,",b,A
"And it was so funny to watch them play against the other teams,",sd,B
Right.,b,B
"I guess he's on the County, uh, oh, Board of Supervisors or",sd,B
Oh Corpus.,b^m,B
Do you ride a lot of rallies or a lot of those around there?,qy,A
Right.,b,A
"You know, we've never been there.",sd,B
That's true.,aa,A
"and people really saw that was,",%,A
kind of.,sd,B
"and then for, uh, for years, I don't know, after elementary school, all through junior high and stuff, I didn't play cause I think I just got so frustrated when I was little I'd, my body wasn't, you know  physically developed and all that kind of stuff",sd,B
I do too.,sd,B
of course all of my folks lived to be very old,sd,B
"I think, I, well,",%,B
and I can understand why.,sd,B
That's just something I hadn't heard of,sd,B
"but it's,",%,A
and he said he's lost most of his hearing,sd,B
and,%,B
"so I, I wish I could tell you",^h,A
Uh-huh.,b,B
I thought it was a fantastic idea.,sv,B
but you just really can't watch a lot of that.,sd,A
"Yeah,",ny,A
and then now you can get one for two or three dollars.,sd,B
"the,",%,B
I never have the nerve to buy the thing.,sd,A
"Oh, are you?",qy,A
"and I finally said, well, you can't do this",sd,A
"makes you sick, doesn't it?",^2,A
Uh-huh.,b,A
"Now it probably doesn't work that way in our household because I have strong opinions about things, too,",sd,A
Uh-huh.,b,A
Yeah.,b,B
Right.,b,A
And it is nice on long trips.,sd,B
Really.,b,B
Huh.,b,A
Uh-huh.,b,A
"But, but the point that was, that it, you know,",sd,A
"Are they still,",qy,B
but this thing about camping that bothers me is you've got to pack everything,sd,A
"I, I see the packages on it, uh, that are available",sd,A
I mean twenty-five percent increase.,sd,B
"Well, we do.",sd,A
Yeah.,b,B
"The last time I went camping was about, uh, in the middle of October,",sd,A
"Well, we went on a family cruise last year, on the Premier Family Cruise Line",sd,A
they do.,aa,B
"uh-huh,",aa,A
"and, uh, I just feel conscious about it.",sd,A
"Okay,","fo_o_fw_""_by_bc",A
"So,",%,A
So you definitely get to try before you buy.,sd,A
"Yeah,",aa,A
No.,nn,A
Uh-huh.,b,A
"Well, good talking to you.",fc,B
"So, if I were,",sd,B
"but,",%,A
really,aa,A
Yeah.,b,B
Right.,b,B
"Yeah,",aa,B
"Uh, well, computer science and cognitive science.",sd,B
and that's probably a pretty sad thing to say,sv,A
"Right,",b,B
"And if you try to take anybody, you know, go to the show or go out for supper, and you go as a foursome,",sd,A
"And, uh, we did that a different color also.",sd,B
What else about corporate benefits?,qw,A
"And, ate in a restaurant,",sd,A
Uh-huh.,b,B
"Um, I think we're all contributors.",sv,A
Yeah.,b,A
"Oh, uh-huh",b,A
"Well, in the last two years, I have not played very much golf because I am involved in Boy Scouts.",sd,A
but there is not much I can really do.,sv,B
Oh they do?,qy,A
"so it's hard,",sv,A
"we've got a thing in this country,",sd,A
"All right,",fc,B
"Gosh,",ba,B
Oh,b,A
"She says that when her husband died that he said, oh, that my uncle had said that he would never put her in a rest home.",sd,B
Are you going to do that?,qy,B
"And so, every couple of weeks we will go to the movies because that's how often they change the, movies.",sd,B
And I thought I was really improving and the big break was going to come,sv,A
but that that's really like an all time classic.,sv,B
I mean I like to fish for trout,sd,B
"God forbid you should want something to drink with it,",sd,A
"and I think that's a change you're going to be seeing more of in the, in the future, people having that kind of attitude that the father's going to take more active role in child rearing.",sv,B
Yeah.,ny,B
Yeah.,b,B
"And, uh, you know, having gone to the University of Minnesota, I know what a big university is like.",sd,B
"And so, uh, after he took that merit badge, he did all the shopping and preparing, getting ready for it.",sd,A
"I'm not sure that that's an everyday thing, though, at least not for, you know, an individual.",sv,B
That's right.,aa,B
Haven't had any problems since.,sd,B
"Yeah,",b,A
Yeah.,b,B
"the people that I've known like from Germany and Finland that have done that are, they do military service which, you know, I don't exactly recommend",sd,B
And  and they were really hearty and stayed on,sd,A
"But even though I love the car I've got now, I think my next car will probably be American again because if I can at all do it, I'd like to stay American,",sd,A
I've been doing it for about two weeks,sd,A
"There are going to be sixteen people at my house tomorrow night, which,",sd,B
"Well, then how can a democracy work then?",qh,B
"and, and in talking with, uh, some of my fellow students, it looks as though, um, nursing homes are not going to be the only option any more",sd,B
yeah.,b,A
"and, uh, my younger son went into child care at six weeks.",sd,B
that's just not realistic.,sv,A
and it was interesting that they think that they're basically impartial.,sv,B
"Uh-huh,",aa,A
"We did that for awhile where, um,",sd,B
"And today I was, I, course I went back to work two weeks after, uh",sd,B
"but there has been,",%,A
"that seems,",%,A
"So once he got motivated, now he's ready to walk every night.",sd,A
"Um, you've got an older house?",qy^d,A
It's a Fox and Jacobs home.,sd,A
Oh.,b,B
yeah.,b,A
It piles up.,sd,A
"Now, see from a technical point of view, that is something that, that our military people need to know about.",sv,B
"Oh yeah,",b,A
Okay.,%,A
"I,",%,A
Oh.,b,A
Right.,aa,A
Talk about the activities that we don't do,"fo_o_fw_""_by_bc",B
"that, I think that's,",sv,B
Okay.,fc,B
and,%,B
"it,",%,A
Yeah.,b,B
And that's how you got involved.,qy^d,B
"Okay,",b^m,A
"I mean, gee whiz.",ba,B
Yeah.,aa,A
but a lot of the industry's moving southward.,sd,B
I'll drool over them.,sd,B
Uh-huh.,b,A
sure.,aa,B
"Or like in New York, the barges that that go up and down the, the river",sd,B
"Well, I'll tell you.",^h,A
It was nice talking to you.,fc,B
"Well,",%,A
I wasn't too .,sd,A
"but, uh, yeah.",%,B
"Well, are you a fisher person, are you?",qy,B
"That makes a big difference, too.",sv,A
"And if they find a bottle or a can or anything like that in your trash, they'll fine you fifty bucks I think the first time and two fifty the second time.",sd,A
"I am in the thirty something,",sd,A
"And there's four, two girls and two boys.",sd,A
"Well, I,",%,B
"Well, I bet you could answer a question for me.",sv,A
"Um, I'm not quite sure why that is",sd,A
And I guess they've been using them for six months now.,sd,A
concentrated foods for one maybe,sd,A
"but I sure don't,",%,B
"and the A J uh, kind of dominant.",sv,B
"but, uh, oh, Sunday the snow and ice came in.",sd,B
"And California seems to be taking steps,",sv,B
"Oh, me.",ba,A
"uh, that, that becomes a different matter simply because your dealing with Israel",sv,B
"I mean just because, like we said before, they don't have enough room in the jails uh, you know, there's a lot of incentive for them to be let out early.",sd,B
but it's like polytechnochloride and all that fun stuff.,sd,B
"but they,",%,A
Yes.,aa,B
"But that's one way to sort of get money and still recycle, I guess.",sv,A
That would be good because we have two trash pick ups a week,sd,A
"and,",%,A
you mic it to see if it's accurate,sv,B
Uh-huh.,b,A
"But, uh, I also,",%,B
"And, uh, that's like when my",sd,A
you'll have a little time think about that.,sv,B
Uh-huh.,b,B
"So, is your husband a singer?",qy,B
"and I've always worked, uh, from the time that they were little",sd,A
"Oh, yeah,",aa,A
and then the Taft-Rudman Act is supposed to help that.,sd,A
"I've always, uh, been pretty lucky.",sd,B
and I hope everything works out up there.,fc,B
Yeah.,b,A
"Yeah,",aa,B
"and, you knew it had, had been through a whole lot,",sd,B
"So, I don't do,",sd,A
Oh that's good.,ba,B
"And I just,",%,A
"This generation,",sv,B
"and I don't really have to worry about that, because I only use it for business,",sd,B
We're lucky to get paychecks the way I figure.,sd,B
"Interesting thing about gas is when, I mean, about battery powered cars is when you're at a stop light, you're not using any any energy",sd,B
Yeah.,b,B
and so I do a lot of clinical work,sd,B
Uh-huh.,aa,B
"No,",nn,B
Oh.,b,A
"you know. So,",%,B
we do as a matter of fact.,sd,B
"and I didn't get into, involved in that one as well.",sd,B
I think so too.,sd,A
"like Hunter was the boss,",sd,A
"He would love it if I would go out and play with him,",sd,A
"and there's big chunks of your money to pay like the utilities and the gas and the groceries, and stuff.",sd,B
"it was nice weather and stuff,",sd,B
and my sister and brother-in-law were going to take us out for dinner,sd,B
"So if somebody killed somebody in your family then you had the right to, uh, if that person was caught and found guilty, you had the right to, uh, execute that person.",sd,A
"and, and uh.",%,B
"I mean, I've been to like thirty or forty games each of the last few years.",sd,A
"Yeah,",b,A
And maybe I'll wet a fly line this year and do some camping if I don't get laid off between now and then.,sd,A
Right.,b,A
"Oh, that's,",%,A
Yeah.,b,A
And if you had a,%,A
"yeah,",%,B
Right.,b,A
"I guess so,",aa,A
"but, uh, terrorism definitely. And  uh, selling out your country.",sv,A
"So, you know, at least in the case of this particular company, they tend to scrimp a little bit there.",sd,B
the different kinds,sd,A
"Yeah,",aa,A
you take some of the batter out and give it to someone else,sd,B
I don't know how you feel about that,sd,B
That's good.,ba,B
"but, uh, I'm just curious what he has to say now that they've got them all lit.",sd,B
"They'll, um,",sd,A
I'm with the F B I.,sd,A
"some of the places now, um, like I B M don't allow them smoking, you know in, in the plant.",sd,B
Yes.,ny,A
"But, over the past years it's like I B M has been producing like",sd,A
"Yeah,",aa,A
and it's going to have little shopping centers in it and little like a lake or something running through it.,sd,B
that's nice.,ba,A
"I've been wanting to take an, um, oriental cooking class",sd,A
Linda.,bk,A
"Uh, a lot of entitlement programs, like education aid, I think, uh, they should put a, in",sv,A
they closed it down.,sd,B
"Oh, okay,",bk,A
"Uh-huh,",b,A
Did you have him in a cage?,qy,B
"Well, I just oh, I have so many mixed emotions about all this.",sd,A
"Well, do you you watch, um, what is that show, WHO'S THE BOSS?",qy,A
"and our homemakers meet at the church also,",sd,A
"I'm not really sure but, what uh, the gun laws in Pennsylvania are like.",sd,B
Yeah.,b,A
"Right,",aa,B
I do think there's good daycare out there.,sd,A
"Well,",%,A
Everybody got excited.,bf,B
Uh-huh.,b,B
"it's like well, you know, you know,",%,A
"like Depressed Mode,",sd,B
"the subject is, Latin America.",sd,B
there was a high error rate in the analysis of drug results.,sd,B
And then they sectioned it out to end zone and then everything else.,sd,A
uh-huh.,b,A
Yeah.,ny,A
Uh-huh.,b,B
Uh-huh.,b,B
"Um, um, oh, yeah.",b,B
but then that was one advantage,sd,B
Oh really?,bh,A
"but, you know, all my children,  excel,",sd,B
"Oh, does he?",bh,A
wait a minute.,^h,A
and it's not very likely.,sv,A
"Eat it all,",b^m,B
"And it it was really pretty,",sd,A
"another good friend of mine who got her degree in social gerontology well had a job for a while where she went around to to folks and had them, sort of kicked them in the pants to make them take good care of their older relatives. To make sure that they would take care of their responsibilities.",sd,A
"Like Maryland,  and New Jersey,",sd,B
"And, well I, it's my responsibility to see that equipment is sent off to be calibrated.",sd,B
Oh,b,B
And it's been quite a few years since I've had to think about that.,sd,A
"but it's quite, uh.",%,A
"I know,",ba,A
Yeah,b,B
"and,",%,A
Yeah.,b,A
she needed to work,sd,A
I agree with you.,aa,B
Okay.,"fo_o_fw_""_by_bc",B
Uh-huh.,b,B
"Well, Cinderella is, is hard rock, heavy metal.",sd,A
"Uh, usually have them come from you know, projects to collect old ones.",sd,B
uh-huh.,aa,B
"And I really like that because that makes it real convenient because they're in almost every shopping center,",sd,B
Yeah.,ny,A
I like that.,sd,A
The same.,sd,A
"Yeah,",ny,B
"Okay,",bk,B
I can go with that answer too,sd,A
"Lucille, I'm on, on .",sd,A
Can we leave the grass?,^q,A
"and a really hate the Redskins. And a lot of it's because, you know, I got a lot of people, you know, at work with and everything that are big Redskin fans.",sd,B
I am not for one world government.,sd,A
"and, and I've lived there most of my life,",sd,A
like also the girls are in softball,sd,A
"And, uh, sometimes we'll go, you know,",sd,B
"I,",%,B
"Most of the time, uh, we just fished, uh, in the river although there were a lot of sand pits and things like that, that we could fish in.",sd,B
Yeah.,b,A
I'm at Clarion University.,sd,A
Yeah.,b,B
"because the way I feel is if I don't vote, then I don't have any reason, to gripe.",sv,A
"I, I can understand their viewpoint,",sd,B
"but, um, I think we are suppose to talk for ten minutes",sv,A
Yeah.,b,B
Fantastic.,ba,A
"so, uh, it was sort of,",sd,A
Many more deaths have occurred in and dealing with coal plants then ever around nuclear plants.,sd,B
"but, uh, I don't much care about things like that.",sd,A
yeah.,b,A
"so,  it costs us more for her to stay home more than it does for him to go to the baby-sitter",sd,B
Um.,b,B
How often do you all come through Waco?,qw,A
"Yeah,",b,B
"They just get around and, and talk techy or, or else, uh, uh, you know,",sd,B
"That's, that's exactly how I feel too.",aa,B
"Uh, you, you, you, you do that by, uh, um,",sd,A
"Who, who did they play?",qw,A
"I'm the same way you are,",sv,A
"the, uh, uh, the, the public service thing again",sd,A
Uh-huh.,b,A
"and, and maybe after we decide to have kids I, I might find a job that has flexible hours.",sd,B
Yeah.,b,B
Uh-huh.,b,B
Maybe,aap_am,A
Uh-huh.,b,B
Uh-huh.,b,B
"No,",nn,A
"how, and then, uh, the, he the beagle died in I guess about October",sd,A
Uh-huh.,b,B
That's the way they suck you in.,sv,A
but I think the technology is better.,sv,A
Uh-huh,b,B
"Another movie that I want to see if it ever comes out on video so I can see it without my daughter around is, uh, oh,",sd,A
That's a good seafood place.,sd,B
"uh, it depends on the, on everyone's discipline.",sv,B
and of course it took me the whole weekend to recover from that.,sd,B
"Yeah,",b,A
and it's going to be a difficult transition.,sv,B
"And if we get have a if we could have a thirty-two hour work week, with that happen is that, for every four people we could give another job.",sd,A
"Um, I, I read a lot of Larry McMurtry books",sd,A
"That was unheard of, you know, twenty years ago.",sd,A
"and they're small, and, um, and fluffy,",sd,A
but they've changed a little bit.,^q,B
and they're both boys,sd,B
Uh-huh.,b,A
"But what they do is, what they did, I don't know, is buy all the parts that I B M would throw away. And build an I B M P C with all the parts that I B M would throw away.",sd,A
"He can eat like a horse, too.",sd,B
"and we wanted to have several,",sd,B
Tahiti?,br,A
Yes.,b,B
Uh-huh.,b,A
"Oh, my goodness",ba,B
You just live there now.,bf,B
Yeah .,b,B
"Oh, no,",ar,A
Uh-huh.,b,B
not being able to put it off for fifteen years.,sv,A
"No,",aa,A
"and I did the, I, I did one that was, the demonstration of a touch, touch screen for a company that sells, uh, touch screens.",sd,B
"It's B, A, R, G, E, double L, O out the",sd,B
"That,",%,B
I agree with that.,ba,A
Uh-huh.,b,B
Um.,%,A
or something that's way back in there.,sv,B
"but this is, you know, this is one step above it,",sd,A
"Well, they may find a cure for it,",sv,B
"I'd kind of like, someday, to maybe end up on a pair of skis that, that doesn't have a, uh, well,",sd,A
"Well that's, that's, that, that's very true,",ba,A
"but, um, you know, because it's, you know,",h,B
Uh-huh.,b,B
"Uh, so, then a couple years ago I found, uh, a bank here in Plano that if you kept a minimum balance in any kind of account whether it was a savings account or what it was, you can get a Visa card through them and no annual membership.",sd,A
"and they just go, oh, how do you do that?",sd,A
"A little town called Tuckaho, over by White Plains.",sd,B
Uh-huh.,b,B
I don't think so.,sd,A
"I mean if someone assumed that of me, I would be upset.",sv,A
Right.,na,A
"But, uh, I'm afraid I'm, I'm probably in the minority.",sv,A
"and I really have had a lot of problems with it,",sd,A
"but Chuck Norris, of course, could be just about equal, if not more",sv,A
is talking to someone in Sorry.,fa,B
Uh-huh.,b,A
I mean it's a lot of work to see that she's prepared,sd,A
"they're both registered, you know,",sd,B
and two years later he remembers that.,sv,B
"but, um, it just took him so much longer,",sd,A
"well see, I, my oldest is nine",sd,B
"but, I really do like it a lot.",sd,A
The guy was obviously guilty,sv,B
Yeah.,b,A
I'm real I'm kind of disgusted this year because I don't see many women into the political scene,sd,A
"I, I remember when I was a kid, I used to do little, little things for the old folks around the neighborhood,",sd,A
A friend of mine had a big family reunion a couple of years ago,sd,B
"Oh, well",ba,B
"Yeah,",aa,A
I just left the whole thing.,sd,B
Oh yes,^q,B
"I mean, it, You know, we have pretty, uh, great fans, put two million people in that stadium.",sv,B
Uh-huh.,b,A
"Yeah,",aa,A
that's true.,aa,A
"Well, and you've got to have,",sd,A
"he called in to get somebody on the line,",sd,B
"Yeah,",b,A
"it's off the golf course,",sd,A
But you're married?,qy^d,B
Yep.,b,B
Uh-huh.,aa,B
Yeah.,b,A
"Well, that's all right as long as,",sv,B
so we can kind of put aside some money that actually is better for us not to see  versus when it's on the paycheck,sd,A
That's true.,ba,A
"uh, it, it depends on the person, on the individual,",sv,B
I didn't mean that in a totally negative sense.,sd,A
Most people aren't.,sv,B
Yeah.,b,B
Huh-uh.,b,B
Um.,b,B
"I do worry about what nuclear weapons are left in the territories, uh, in their territory over there, and who's controlling them,",sd,A
"Oh no,",ba,B
"I mean, we just, we got a monster, you know, bill coming in.",sd,A
"you know, it is a problem.",sv,B
"I can't even think of the name of it right offhand, with the oldies.",sd,B
"Yeah,",b,B
"Oh, yeah,",b,B
"Yeah,",aa,B
"right,",aa,A
Exactly.,aa,B
"Well, you know, who is getting rich?",qw,A
I've lived in Texas most of my life.,sd,B
"well, in bad weather, you know, well you'd have to do something inside.",sv,B
and decided to take it.,sd,B
"Well, uh, capital punishment is a hard thing,",sv,B
"saying how,",%,B
Right.,b,B
so. So television is my main new source.,sd,A
"and I, surprisingly enough after four years, I'm not tired of the car at all",sd,A
"I said, Russ, you don't understand what it was like to have her home or to if you needed,  Mom at school, you know, she was there to help",sd,B
"It's, it's a hard decision,",sv,B
but one had more blue to it.,sd,B
All these years we've,%,B
we have a separate area for the garden.,sd,A
That sounds fun,ba,A
I hope you know more about the subject of baseball,sd,A
"my grandparents came over during the time when, uh, there were quotas.",sd,B
"but, uh, down here in the last, oh, year plus, I, it was beginning with last year's Earth Day There's just been more of a turn toward uh, environmental concerns,",sd,B
"Well, not lately",ng,A
"I've seen, you know, the filet.",sd,B
"But I think this, they way the whole economy is going right now, it's just not good to be in debt.",sv,B
"to answer your questions earlier, yes, I, we do enjoy fishing,",sd,A
and there'd be no more argument.,sv,B
"uh, I know school kids,",%,B
"Yeah,",aa,B
"and this government controls everything, right",sd,B
Uh-huh.,b,B
one of the new ones.,sd,B
and I come here quite often,sd,A
"And,",%,A
Uh-huh.,b,B
Uh-huh.,b,B
"Um, no,",nn,A
"and there's nothing to compare with, uh, T I here.",sv,B
"I don't know if we're the top,",sd,B
"Right,",b,A
"and, I don't know, if, if gangs occur much down in Texas. Do they?",qy,B
yeah.,aa,B
Circuit City.,sd,B
so,%,B
Well I,%,B
"No,",aa,A
"Very much,",aa,A
"yeah,",b,A
what kind of,qw,A
I'm a T I employee,sd,B
I think it was like Utah or somebody like that,sd,A
"Yeah,",aa,A
and I think the Pirates will go.,sv,B
That's true.,aa,B
Uh-huh.,b,A
"You know, I mean, every time we went outside, he'd look at something that was humongous, you know,",sd,A
"I live in Richardson,",sd,B
"I just had surgery, um, less then two months ago,",sd,B
I always forget,sd,A
Where'd you move from?,qw,B
"It's ,",%,A
Yeah.,"fo_o_fw_""_by_bc",A
"and I've lived in other states and done other things for the past twenty years, where I go to church now, there are five other people that went to school at the same time in the same class as I,",sd,B
Uh-huh.,b,A
"we own it,",sd,B
"but, uh, my children all have been grown for a few years",sd,A
and he's out.,sd,B
"but somewhere we've got to come up with some money to build, to build more, you know, and keep these people in them, you know.",sv,B
"Lately, I haven't been catching it because of my work schedule.",sd,B
"Uh, yeah.",ny,B
Yeah.,b,A
so I like the Bears.,sd,B
Uh-huh.,b,A
so I think it will be real good for them,sd,B
"I don't know,",h,A
"They're unfinished wooden book ends and stuff for a little girl for Christmas,",sd,B
"It was really it was s really a of things that were fresh sprigs, you know,",sd,A
and also they get better quality,sv,B
"Uh, computer programmer",sd,B
Uh-huh.,b,B
but they have a sunroom instead of the patio.,sd,A
"I had a Discover,",sd,B
"and I mean that sucker hit that fan and went flying up against the wall,",sd,B
"and, and, the router, uh, helps a lot because you can make better joints with a router.",sd,B
"And so we went, I guess it was two weekends ago, we went, uh, car shopping and looked around.",sd,B
Uh-huh.,b,A
"and he, uh, would like to just get a fifth wheel and just travel across the country and spend a month here or a couple of weeks there,  and just, you know, not,  be settled anywhere,",sd,B
"and, um, so they didn't know how it was going to work,",sd,A
Yeah.,b,A
"we had I had probably twenty credit cards for,",sd,B
"Well, I noticed on the weather map on, uh, cable network that there was supposed to be a storm front moving into California and on down your way,",sd,B
"Oh, but it's hard to finish it, huh.",qy,B
you pour bouillon or chicken broth over it,sd,A
Send them over to Iraq,ad,B
and they wind up back on the streets after five years or six years or like the kid on the news tonight out in Mesquite who was out in six months.,sv,A
and she's thin,sd,A
they want to put some equipment on their bike and go for a tour.,sv,B
"you know, when you consider, you know, it's probably not radioactive",sv,A
"it's sort of a, a rare select environment.",sv,A
"there's been and extraordinary amount of money spent there,",sv,A
Everybody else still nuts over soccer,sv,B
Kirk Douglas?,qy^d,A
"but, but, uh, all they did every day in their life was to play golf every,",sd,A
"And, uh, seeing as you've got some older children, I, I'm wondering, how did you handle that, when they were growing up?",qw,A
yeah.,aa,B
"yeah,",%,B
and the old dies,sd,A
we usually use frozen vegetables and things,sd,B
"so I can sit there and read and listen to music, like what you said,",aa,B
Pardon?,br,B
and it's sort of by category.,sd,B
"the neighborhood that we live, they are switching to an alternate calendar this year,",sd,A
"and I, I think about young people that think, you know,",sv,B
"but, uh, this state was like the second,",sd,A
"we're, we're slowly getting everything back together again.",fc,A
"you know, I do, I switch the stations a lot because I don't have a cassette player in my car.",sd,B
"I, I might have seen part of that because the name sounds familiar although I I would remember, I think in, with him in it.",sd,B
"So, uh,  if you.",sd,B
"and yet, there's,",%,A
Okay.,fc,B
"because I looked into picking up some, uh, medical insurance for my, just for my family, you know, just,",sd,A
Um.,^h,B
"but I think if you take more than three children in, well,",sd,B
"we stopped watching for a couple of years in the middle there,",sd,B
"They just, uh, they just sent out a letter to everybody they do business with saying, that you know, if you're interested we're doing a study",sd,B
"uh-huh,",ny,A
and they build and rebuild non jet engines.,sd,A
"And then, all the sudden, it disappeared, you know",sd,A
You knew of the homes themselves?,qy,A
"and you know they,",%,A
"and they hit the long ball,",sd,A
"You have to go in a room solely by yourself, sign papers that say you were totally alone, sign papers that say this is yours,",sd,B
they have bins,sd,A
and so I'm just grateful that we don't have to worry so much about my working or not.,sd,B
"Oh, well, that's not too bad,",ba,A
"So here, I know that, uh, last year there was some ice storms while I was out of the state",sd,A
"I get in to, even when I don't like the sport so much, I get interested in the history of sports franchises or",sd,A
"and that's, that's what I think.",sv,A
I beg your pardon.,br,A
"In the long run it's very, uh, reasonable if the person,",sv,B
Right.,b,B
"and I enjoy classical guitar and classical piano, you know,",sd,A
"and they had all these, they didn't even have nursing care there.",sd,A
"Huh. And I think the Federal government is, uh, is really far away from, uh, uh, control.",sv,A
Uh-huh.,b,B
"And, it's, it's been, uh, it's been something else, to say the least.",sd,B
"Well, that's,",%,A
Well.,%,B
"Um, you know, it's, it's, once they get to a certain age it's almost more important that it's someone that can entertain your child as opposed to someone who's, you know, really, really qualified per se.",sv,B
I agree.,aa,A
"Because, uh, we have had sort of weekends like that too.",sd,B
"Uh-huh,",b,A
"so this isn't like, uh, uh, just one, one, uh, instance.",sd,B
"there's a little sensing device, uh, in front of my, uh, um, I'm not sure, right in front of the fan,",sd,B
"but, there, I think there are a lot of other things I would have liked better.",sd,B
Was it. *listen,qy,B
that's exactly what I was going to say.,aa,A
Um.,%,A
I don't want to have to mess with it.,sd,A
I have a friend who has a minivan.,sd,B
Uh-huh.,b,B
someone in the background The Hari Krishna.,t3,B
"Yeah,",ny,B
"Uh, this little sensing device costed like sixty bucks",sd,B
Bye-bye.,fc,A
"Well, um, what movies are showing down there now?",qw,A
"So it's just kind of nice, and especially when I have my cat that comes down and joins me.",sd,A
"We, we, uh, we worked, we've worked our way back into the hallway,",sd,B
"and I don't think anybody in my house knows the difference, unless you tell them.",sd,A
"Hey,",b,B
Thanks.,fc,B
Did puppy go to?,qy,B
Yes.,ny,A
Yeah.,b,B
And how about SILENCE OF THE LAMB?,qy,B
"And to me, that's the type of thing that I like to give in, um, uh, cooking for people.",sd,B
"and, uh,",%,A
and I get real nervous whereas usually the other needlework stuff is relaxing to me.,sd,B
"And, uh, it would have helped me out tremendously",sd,A
"Oh, okay,",bk,B
"And we all, you know, need to be willing to help pay a little bit. Like,",sv,A
